"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"305";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"306";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"307";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"308";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"309";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"310";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"311";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"312";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"313";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"314";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;39
"315";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"316";2;5;6;8;10;13;14;17;18;20;22;25;25;25;25;25;25;25;25
"317";2;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"318";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"319";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"320";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"321";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"322";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"323";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"324";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"325";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"326";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"327";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
