"";"classe 1";"classe 2"
"rocha";-0,431;0,431
"riverboat";-0,431;0,431
"rise";-0,431;0,431
"riot";-0,431;0,431
"rim";-0,323;0,323
"reflect";-0,431;0,431
"realm";37,305;-37,305
"quirky";-0,431;0,431
"purple";-0,431;0,431
"protect";-0,431;0,431
"professionally";19,507;-19,507
"pine";-0,431;0,431
"picturesque";-0,431;0,431
"period";-0,431;0,431
"pc";-0,431;0,431
"part";-0,431;0,431
"parchment";37,305;-37,305
"panteon";-0,431;0,431
"paick";-0,431;0,431
"overcast";-0,431;0,431
"norwegian";19,507;-19,507
"nicholas";-0,431;0,431
"mute";-0,323;0,323
"monster";1,07;-1,07
"minimal";-0,431;0,431
"mine";19,507;-19,507
"michelangelo";-0,431;0,431
"medium";-0,431;0,431
"lone";-0,431;0,431
"lie";-0,431;0,431
"layer";-0,431;0,431
"lava";-0,323;0,323
"kurdistan";-0,431;0,431
"kremlin";-0,431;0,431
"koidl";-0,431;0,431
"kitezh";-0,431;0,431
"italy";1,07;-1,07
"istanbul";-0,431;0,431
"ismail";-0,431;0,431
"isaac";-0,431;0,431
"intense";-0,431;0,431
"include";37,305;-37,305
"inceoglu";-0,431;0,431
"hyperborea";-0,431;0,431
"holiday";-0,431;0,431
"hole";-0,323;0,323
"hohenzollern";-0,431;0,431
"hodas";-0,431;0,431
"highlight";-0,431;0,431
"group";1,914;-1,914
"gridless";-0,431;0,431
"glorious";-0,431;0,431
"georgian";-0,431;0,431
"frog";-0,431;0,431
"frame";7,429;-7,429
"forget";-0,431;0,431
"foot";-0,431;0,431
"florence";-0,323;0,323
"floor";-0,431;0,431
"finnstark";-0,431;0,431
"finely";-0,431;0,431
"fine";-0,431;0,431
"filip";-0,431;0,431
"extraterrestrial";37,305;-37,305
"extint";-0,431;0,431
"explosion";-0,431;0,431
"eternity";-0,431;0,431
"enormous";-0,431;0,431
"element";-0,323;0,323
"effective";-0,431;0,431
"eerie";-0,431;0,431
"edlin";-0,431;0,431
"eastern";-0,431;0,431
"dry";-0,431;0,431
"drink";-0,431;0,431
"dolomite";-0,431;0,431
"detach";-0,431;0,431
"decimate";-0,431;0,431
"debris";-0,431;0,431
"czech";-0,431;0,431
"cute";-0,431;0,431
"cream";-0,431;0,431
"cracow";-0,323;0,323
"courbet";-0,431;0,431
"contest";7,429;-7,429
"construction";-0,431;0,431
"confluence";-0,431;0,431
"colossal";-0,431;0,431
"coast";-0,323;0,323
"cloudy";-0,431;0,431
"cimbing";-0,431;0,431
"celtic";-0,431;0,431
"caribean";-0,431;0,431
"brutalist";-0,431;0,431
"brush";-0,431;0,431
"beksi";-0,431;0,431
"beautifull";-0,431;0,431
"base";-0,323;0,323
"balcony";-0,431;0,431
"babylon";-0,431;0,431
"arthur";-0,323;0,323
"armor";1,914;-1,914
"apocalypse";-0,431;0,431
"angel";-0,323;0,323
"anato";-0,431;0,431
"ambiance";-0,431;0,431
"alsp";-0,431;0,431
"alley";-0,431;0,431
"4d";-0,431;0,431
"zhu";-0,323;0,323
"worth1000";-0,323;0,323
"worksite";-0,323;0,323
"width";-0,323;0,323
"wholesome";-0,323;0,323
"whimsical";-0,323;0,323
"whelan";-0,323;0,323
"western";-0,323;0,323
"weep";27,961;-27,961
"wayne";-0,323;0,323
"watsons";-0,323;0,323
"waterhouse";-0,323;0,323
"warsaw";-0,323;0,323
"warn";-0,323;0,323
"warcraft";27,961;-27,961
"volatile";27,961;-27,961
"visual";-0,323;0,323
"visible";-0,323;0,323
"victor";-0,323;0,323
"vibrante";-0,323;0,323
"vatican";1,914;-1,914
"vasnev";-0,323;0,323
"vasnetsov";-0,323;0,323
"ureal";-0,323;0,323
"unforgiving";27,961;-27,961
"ukranian";-0,323;0,323
"ue5";-0,323;0,323
"turini";-0,323;0,323
"tilt";-0,323;0,323
"teal";-0,323;0,323
"tarot";-0,323;0,323
"tardis";-0,323;0,323
"tag";-0,323;0,323
"tactic";27,961;-27,961
"survivor";-0,323;0,323
"surrealistic";27,961;-27,961
"surrealism";-0,323;0,323
"surprise";-0,323;0,323
"strand";27,961;-27,961
"staircase";-0,323;0,323
"st";-0,323;0,323
"spine";-0,323;0,323
"spear";-0,323;0,323
"somber";-0,323;0,323
"skyrim";1,914;-1,914
"situate";27,961;-27,961
"simplistic";27,961;-27,961
"sienkiewicz";-0,323;0,323
"sid";27,961;-27,961
"shoulder";-0,323;0,323
"shock";-0,323;0,323
"shishkin";-0,323;0,323
"sewage";-0,323;0,323
"set";-0,323;0,323
"sergey";-0,323;0,323
"scary";-0,323;0,323
"saturation";-0,323;0,323
"sail";-0,323;0,323
"ryan";-0,323;0,323
"ruysch";-0,323;0,323
"rubinkowski";-0,323;0,323
"rtx";-0,323;0,323
"roundabout";-0,323;0,323
"rossier";-0,323;0,323
"rosa";-0,323;0,323
"rolex";-0,323;0,323
"robinson";27,961;-27,961
"rich";-0,323;0,323
"retrofuture";27,961;-27,961
"reichstag";-0,323;0,323
"reconstruction";27,961;-27,961
"reapper";-0,323;0,323
"radiant";-0,323;0,323
"rachel";-0,323;0,323
"puffy";-0,323;0,323
"pub";-0,323;0,323
"postprocessing";-0,323;0,323
"portsmouth";-0,323;0,323
"population";27,961;-27,961
"polity";27,961;-27,961
"poland";-0,323;0,323
"poke";-0,323;0,323
"petroleum";-0,323;0,323
"pastoral";-0,323;0,323
"past";-0,323;0,323
"pascal";-0,323;0,323
"park";-0,323;0,323
"overhead";-0,323;0,323
"omega";-0,323;0,323
"oga";-0,323;0,323
"odessa";-0,323;0,323
"ocher";-0,323;0,323
"oak";-0,323;0,323
"northern";-0,323;0,323
"noise";-0,323;0,323
"neil";-0,323;0,323
"nazi";-0,323;0,323
"nature";-0,323;0,323
"name";11,127;-11,127
"nag";-0,323;0,323
"musty";-0,323;0,323
"motherboard";-0,323;0,323
"moss";-0,323;0,323
"moonlight";-0,323;0,323
"mood";-0,323;0,323
"monumentsl";-0,323;0,323
